Language,Family,Branch,L1_Speakers_Millions,L2_Speakers_Millions,Total_Speakers_Millions
English,Indo-European,Germanic,390,1100,1500
Chinese,Sino-Tibetan,Sinitic,990,194,1200
Hindi,Indo-European,Indo-Aryan,345,264,609
Spanish,Indo-European,Romance,484,74,558
Arabic,Afro-Asiatic,Semitic,0,332,335
French,Indo-European,Romance,74,238,312
Bengali,Indo-European,Indo-Aryan,242,43,284
Portuguese,Indo-European,Romance,250,17,267
Russian,Indo-European,Balto-Slavic,145,108,253
Indonesian,Austronesian,Malayo-Polynesian,75,177,252
Urdu,Indo-European,Indo-Aryan,78,168,246
Standard German,Indo-European,Germanic,76,58,134
Japanese,Japonic,NA,124,2,126
Nigerian Pidgin,English Creole,Krio,5,116,121
Egyptian Arabic,Afro-Asiatic,Semitic,84,35,119
Marathi,Indo-European,Indo-Aryan,83,16,99
Vietnamese,Austroasiatic,Vietic,86,11,97
Telugu,Dravidian,South-Central,83,13,96
Hausa,Afro-Asiatic,Chadic,58,36,94
Turkish,Turkic,Oghuz,85,6,91
Western Punjabi,Indo-European,Indo-Aryan,NA,NA,90
Swahili,Niger–Congo,Bantu,4,83,87
Tagalog,Austronesian,Malayo-Polynesian,33,54,87
Tamil,Dravidian,South,79,8,86
Yue Chinese,Sino-Tibetan,Sinitic,85,1,86
Wu Chinese,Sino-Tibetan,Sinitic,83,0.5,83
Iranian Persian,Indo-European,Iranian,65,17,83
Korean,Koreanic,NA,81,0.5,82
Thai,Kra–Dai,Zhuang–Tai,27,44,71
Javanese,Austronesian,Malayo-Polynesian,NA,NA,69
Italian,Indo-European,Romance,63,3,66
Gujarati,Indo-European,Indo-Aryan,58,5,62
Levantine Arabic,Afro-Asiatic,Semitic,58,3,60
Amharic,Afro-Asiatic,Semitic,35,25,60
Kannada,Dravidian,South,44,15,59
Bhojpuri,Indo-European,Indo-Aryan,53,0.5,53
Sudanese Arabic,Afro-Asiatic,Semitic,41,11,52 
