Total words processed: 128000
Failed detections: 14104

Language Distribution:
------------------------
en: 12800 words (10.00%)
it: 7385 words (5.77%)
da: 7106 words (5.55%)
de: 6241 words (4.88%)
ro: 5834 words (4.56%)
fr: 5769 words (4.51%)
vi: 5569 words (4.35%)
pt: 4806 words (3.75%)
tl: 4563 words (3.56%)
cy: 3727 words (2.91%)
no: 3724 words (2.91%)
es: 3317 words (2.59%)
id: 3275 words (2.56%)
tr: 3179 words (2.48%)
lv: 2988 words (2.33%)
fi: 2945 words (2.30%)
ca: 2834 words (2.21%)
et: 2518 words (1.97%)
sv: 2476 words (1.93%)
so: 2466 words (1.93%)
nl: 2363 words (1.85%)
af: 2324 words (1.82%)
sw: 2116 words (1.65%)
pl: 2101 words (1.64%)
sq: 1996 words (1.56%)
sk: 1743 words (1.36%)
cs: 1634 words (1.28%)
hu: 1507 words (1.18%)
lt: 1500 words (1.17%)
sl: 1481 words (1.16%)
hr: 1159 words (0.91%)
zh-cn: 430 words (0.34%)
ko: 20 words (0.02%)
