Language,Percentage Sites
English,49.1
Spanish,6.0
German,5.8
Japanese,5.1
French,4.5
Portuguese,3.9
Russian,3.8
Italian,2.8
Dutch,2.2
Polish,1.8
Turkish,1.7
Persian,1.2
Chinese,1.1
Vietnamese,1.1
Indonesian,1.1
Czech,1.0
Korean,0.8
Ukrainian,0.6
Hungarian,0.6
Arabic,0.5
Swedish,0.5
Romanian,0.5
Greek,0.5
Hebrew,0.4
Danish,0.4
Finnish,0.4
Slovak,0.4
Thai,0.3
Bulgarian,0.3
Croatian,0.2
Serbian,0.2
Lithuanian,0.2
Norwegian Bokmål,0.2
Slovenian,0.1
Catalan,0.1
Estonian,0.1
Norwegian,0.1
Latvian,0.1 
